,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Austria,0.296214331384904,0.1364602752759698,0.35695045116698937,0.06780529920174812,0.03673290491956117,0.052026808985401775,0.04721772585739489,0.0002964354149529052,0.0031236778988006273,0.0031720898942773756
Belgium,0.21994329133684942,0.11177984325362621,0.3737001058753961,0.01937790204303292,0.012780414105702543,0.25002536872712305,0.005306993145570228,0.0030214791796129596,0.0025601073175384403,0.0015044950155480522
Bulgaria,0.46505407241883306,0.19200716333274034,0.06463062796913693,0.18230670790497228,0.0020998126493903145,0.0732839597775239,0.007464667027491372,0.0019452095048856093,0.011187761690888181,2.001772413792345e-05
Croatia,0.5208830340991782,0.09083174721954874,0.11091482483102053,0.23940136339363496,2.7243879742242264e-05,0.0006648758655379485,0.032003788259433875,0.0020835843745636196,0.0007641647842043303,0.002425373293135366
Cyprus,0.16135802572678515,0.0024012315952691445,0.4341586631563181,0.2246268752793785,0.08249419817937652,0.005834699297776781,0.05732498955055844,0.020878388767472483,0.003774961757151388,0.007147966689913621
Czechia,0.025183792955638985,0.7553288139385002,0.13620764807628166,0.0004903468350277309,0.01626125342832567,0.013060465195689422,0.03733990550861448,0.009547614072311661,0.0042792379892517985,0.0023009220003583552
Denmark,0.4567447569706586,0.03309892814666535,0.05734733874556366,0.40665282809749437,0.018136856872721072,0.022596310792504348,0.0001495335154686238,0.003177028015508314,9.932202716562596e-07,0.0020954256231440907
Estonia,9.455392091879536e-06,0.6860651183900855,0.06379400483933699,0.03985192199828049,0.17519771276176904,0.014444661034894087,0.007587232524491694,0.011884222057302045,0.0010603102541724189,0.00010536074757577306
Finland,0.34916851222862233,0.021356786787374352,0.38725996722283723,0.1951458631785672,0.0008840126418505042,0.01100181918028222,0.03323824776083488,7.475754352655927e-06,0.0002281626353674994,0.0017091526099110494
France,0.03620247917581355,0.5371790614665821,0.15295614436346935,0.19242673311438993,0.03081296913073264,0.006924891161659262,1.4790990988318425e-06,0.012099702734215003,0.03043689605003906,0.0009596437040000248
Germany,0.43442176309843217,0.006575613789123227,0.4341060629811976,0.0021510225890678967,0.10156497936840364,0.0025791999508248753,0.00601357934647751,0.01018110278039227,0.002405117231306651,1.5588647739835656e-06
Greece,0.4602649158779109,0.40368866647992696,0.00041107758406504414,0.10110199582483671,0.0047250446474139856,0.02081888209358235,0.0009980106085577748,0.0006619805849977743,0.007279854469503778,4.957182920479053e-05
Hungary,0.3755079158708377,0.3854286325720765,0.00024508780927380287,0.024207101382872548,0.01714044811694621,0.19345051764283144,3.3045034220619874e-05,0.000732735697110766,0.0029750858198268073,0.00027943005400360367
Ireland,0.5608975835900601,0.03452941710487519,0.3415198244753913,0.02985462341054586,0.0008871366915072682,0.008657851374796216,0.009493319898020013,0.000872110661524397,0.012698386232503802,0.0005897465607759419
Italy,0.12990961704066692,0.6363300477968757,0.007951199059945964,0.04169397444625984,0.007634830999418059,0.003096079500046553,0.0849365369008541,0.08442085236348326,0.0005301937391406198,0.0034966681533088887
Latvia,0.46516701932151494,0.3243106196444597,0.01696320355798014,0.01569743881892887,0.15301015338894883,0.0013501480564625434,0.0042585386288559995,0.01683336001146063,0.0021339613294489882,0.0002755572419393658
Lithuania,0.5305272841544197,0.16528892898565822,0.04122663973682892,0.07451002697494488,0.08714200708864757,0.060619777840351316,0.009755737744028306,0.014645297574166577,0.013587015694859027,0.0026972842060953464
Luxembourg,0.6847967211328699,0.00540149860681558,0.25110999767997216,0.0391912415992133,0.0030157229545002794,0.00037378304659861124,0.0027289578399485883,0.0020018881684632363,0.010502153234892463,0.0008780357367256448
Malta,0.05266789841472124,0.20704389657184666,0.07152417005102082,0.26944904738850417,0.2436512811499212,0.13870332544711525,0.0004540216724919031,0.002399720636066017,0.014052249740762348,5.438892755029277e-05
Netherlands,0.5947612735520025,0.004810377976370544,0.03897609816037906,0.2999944653076861,5.511638591064734e-05,0.0008418578000539936,0.048880064855832135,0.0014648107489489395,0.010094357645664088,0.00012157756715188426
Poland,0.23981281011338004,0.2873431811264425,0.01457395738375836,0.32202265320979634,0.07012498031958918,8.170026411049085e-05,0.033371887264939185,0.03142553047937544,0.001242782840171167,5.169984372948201e-07
Portugal,0.393440519817816,0.3439819789180398,0.0007212447404096793,0.024434695838514903,0.12141260603625602,0.004214903335546395,0.03533260163416282,0.04340392460524973,0.010325220337012971,0.02273230473699165
Romania,0.5599484661072166,0.19779970810644026,0.06771690108962318,0.06343584788133849,0.008217100677178952,0.04112149496245094,0.024221347541781034,0.00822712460640755,0.02504765203941503,0.004264356988147981
Slovakia,0.04964746924613084,0.374377612558584,0.04950104672527655,0.24853029167960475,0.013296131642885144,0.15823700884478112,0.084107318010381,0.017340857731658697,0.00013356178002407103,0.004828701780673583
Slovenia,0.018355227084528806,0.021634523981391478,0.13614687632072808,0.5515982384409275,0.2101844850701217,0.03579371927648112,0.001998746699086519,0.0005875155504410089,0.009873487453404847,0.013827180122888996
Spain,0.10841399113818234,0.6368740181999498,0.0038654296023504565,0.028226527353459256,0.14228860930249454,0.05305683966193954,0.004580640067359379,0.020582577245385432,0.0019903895696964055,0.00012097785918287864
Sweden,0.48033667787687645,0.01348956303919673,0.29280636079008987,0.0012089331737578596,0.13113326705050135,0.009178372468272933,0.056276288106082414,0.0121978757079718,0.00011582951903721961,0.003256832268213272
