,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Austria,0.011610059872673708,0.010112495415169136,0.035454672836278456,0.009933294212985824,0.011680351645655023,0.025351440117331883,0.04216579099161919,0.0004966958276222789,0.006975025915198964,0.024474796257515103
Belgium,0.01133605930374157,0.010892776372197498,0.04881033233010365,0.0037330122508639593,0.005344026039897503,0.1602073801212886,0.006231989440132582,0.006657375098291154,0.00751728037177333,0.015264667499925038
Bulgaria,0.037483524983471087,0.029260255040303326,0.013201172429059924,0.0549213105498393,0.0013730608101430162,0.07343328456409275,0.013708003496321251,0.006702477867565685,0.05137257900630056,0.0003176119833949458
Croatia,0.07745761304887364,0.025537905035347874,0.04179753300330801,0.13306130742410682,3.2867381240116735e-05,0.0012291687736268168,0.10843065431057558,0.013245459257660247,0.006473842139994926,0.07099825824772983
Cyprus,0.0103258406803482,0.00029053108068493585,0.07040775131145753,0.053727648572621745,0.042828267290894464,0.004641949161539382,0.0835806270971202,0.057116799014417616,0.013762539952886387,0.09004561622842239
Czechia,0.001357103721963965,0.07695762485564764,0.01860075401858671,9.876351710728436e-05,0.007109158056937694,0.008749789400989697,0.045844992769647944,0.021994737797946695,0.01313740322136907,0.024408382704623255
Denmark,0.04671304448168625,0.0064003280484235155,0.014863292529246314,0.15544962143714555,0.01504869632101649,0.02873089759733744,0.0003484415510995445,0.013890493594689869,5.787105039863518e-06,0.04218733178849459
Estonia,9.363578085543637e-07,0.12845509506233893,0.016009557013991465,0.014750706949039958,0.14075472293965557,0.017783477973809782,0.01711876698407709,0.05031124722188532,0.005982000476867355,0.0020539333345648727
Finland,0.02273656077819988,0.0026293555313207555,0.06390420824131533,0.04749526537637542,0.00046700381224527285,0.008906380704978586,0.04931222665149073,2.0810223951843417e-05,0.0008464190168298967,0.021908656609677227
France,0.0014209179670722344,0.039863320509932375,0.015213697447874059,0.028229121939369228,0.009811524498467205,0.003379019499216355,1.322679914026494e-06,0.020301934668705113,0.06805847953511762,0.0074145691153509686
Germany,0.03237627104455078,0.0009265636380328573,0.08198761613289746,0.0005991857744787852,0.061408924069681695,0.0023897216477131262,0.010211160243093905,0.03243710651183262,0.010211809185777295,2.2870144190122037e-05
Greece,0.07673726122436389,0.12725319118467354,0.000173683824276274,0.06300273774705115,0.006391114382839991,0.04315219399495084,0.0037910575190492003,0.004718193060630941,0.06914683540804274,0.0016269663631439983
Hungary,0.023800462233310022,0.046188511993567834,3.936635089032112e-05,0.00573469538072326,0.008813749788701983,0.15243449060541017,4.7719874589869664e-05,0.001985389298813529,0.010742787398908441,0.0034864594295128983
Ireland,0.14112381151777492,0.016425919022032748,0.2177558350522406,0.028075635494431702,0.001810837671143749,0.027081574311995087,0.05442038835956774,0.009380378358242824,0.1820188846672998,0.0292097171447691
Italy,0.0072875226595439215,0.06749082685574419,0.0011303381771081956,0.00874204788541919,0.0034746438338562713,0.0021592243638555468,0.10855753113700124,0.20245121157007245,0.00169443299088992,0.03861341741537758
Latvia,0.030610912135283445,0.04035080723325556,0.0028288660480016883,0.0038609788624568726,0.08168829964718015,0.001104576510776659,0.006384909399097611,0.04735547518761315,0.00800027818517767,0.003569639763550859
Lithuania,0.046324958256420766,0.027288193144604952,0.009122679243482219,0.02431774516090573,0.06173154146684134,0.06580648679102621,0.019408600572348923,0.0546685487344186,0.06759002045058839,0.04636382183219982
Luxembourg,0.22113425941952322,0.0032978608675099685,0.20549228306982006,0.04730256061680587,0.00790056319056145,0.0015005864172938205,0.020077885714814826,0.02763542854499159,0.1932074629434666,0.05581510646483576
Malta,0.003410466107417419,0.025348594447269324,0.011737016902854653,0.06521472552746958,0.12799962530569053,0.11166104161269068,0.0006698400729492024,0.0066429420930253546,0.05183997653908077,0.0006933035918876593
Netherlands,0.02924229971765396,0.00044716905903533736,0.004856287122218359,0.05512941109119849,2.19847648100622e-05,0.0005145820514489861,0.05475545692445952,0.00307880647566241,0.02827474632261132,0.0011767047214695308
Poland,0.009279093621747971,0.02102121314753547,0.0014290513282201132,0.046571569245451916,0.02201294665397391,3.930100818545881e-05,0.029419869287909833,0.05198138272819263,0.00273955241764116,3.937926581206355e-06
Portugal,0.02433071647823574,0.04021936462127157,0.00011303049412951729,0.005647861259496068,0.06091326016136033,0.0032404884983923154,0.049782674220762914,0.11474581237513667,0.03637695383675585,0.27673525379888064
Romania,0.0393990735168778,0.02631402593404784,0.012074584071061925,0.016682993039425893,0.004690604419565357,0.035971114806035286,0.0388296113692279,0.024746743502955474,0.10040518935237723,0.05906588430461227
Slovakia,0.0019748055998025844,0.028155341994820633,0.004989749820811403,0.036949437699079685,0.004290666813587234,0.07824964068576602,0.07622331133849812,0.029486949198700332,0.0003026638979680238,0.037809664610365536
Slovenia,0.00035101234881009153,0.0007822285800017813,0.006597926442397029,0.039426368227371916,0.032608854206414864,0.008509744363240297,0.000870857679148687,0.000480301597906581,0.01075683235659504,0.05205248408416343
Spain,0.014305131385154152,0.15888531230025318,0.001292532406736495,0.01392083349088819,0.15231718441070774,0.08703520334135785,0.01377080974961709,0.11610162649369396,0.014962211632684524,0.00314237216544318
Sweden,0.04083324450065278,0.002168151987942026,0.0630791453145965,0.00038412423085382955,0.09043848337989409,0.009700204038613547,0.10899846352882923,0.04432863665833821,0.0005609686357185332,0.054501535432286675
