,GDP_per_capita,Unemployment_rate,Inflation_rate,Public_debt,Current_account,Export_growth,Import_growth,FDI_inflows,R_D_expenditure,Labor_productivity
Austria,0.5239827772905266,-0.35968205190715563,-0.5962043218933997,0.2637981691386083,0.5014928009086682,-0.14953343588376797,-0.09770907077931908,-0.5042266329261395,1.6590488228930071,0.5512744091669393
Belgium,0.3828164671820516,-0.05888599964851687,-0.15850749343389545,0.9663179332022315,0.052642890703119886,-0.49844478627922667,-0.5452515110453056,-0.1663579840019088,1.888763275293577,0.7507597878897044
Bulgaria,-1.0341880618527488,-0.6175072395574172,0.6682531825451683,-1.2043892029494139,-0.17178206439965432,0.8972006153026088,1.1035890583556975,-0.2856057424457549,-1.0975246059138353,-1.552071426138004
Croatia,-0.8495272670081491,0.49973524026038346,0.10897390173580156,0.000682152635378539,-0.05956958684826723,2.3426904955123664,2.964423415251116,-0.3651042480749857,-0.638095701112695,-0.9886127248333518
Cyprus,-0.29134804622788174,0.24191005261012188,-0.4503053790735648,0.4769221425062243,-1.555735954200095,0.17445567519772967,0.7738209444754972,1.5428598870265526,-0.9826673797135501,-0.5021483802287142
Czechia,-0.4798241467510889,-1.3909828025082025,1.105950011004673,-0.6360586073024376,0.01523873151932418,-0.8972006153026081,-1.1105682776970782,-0.08685947837267798,0.28076210848958577,-0.404155562610514
Denmark,1.0695714893313895,-0.4885946457322864,-0.6205208123633721,-1.0149456710670886,2.371700760098453,0.3489113503954589,-0.23903826244226214,-0.6830982705919086,1.1996199180918663,1.0167402928533908
Estonia,-0.443960273372179,-0.05888599964851687,2.2245085726234057,-1.3122667697157382,-0.4710153378700199,-1.1464230084422216,-1.581665583240222,-0.027235599150754942,0.05104765608901567,-0.5126476106878075
Finland,0.5098661462796791,0.49973524026038346,-0.9609516789429866,0.1296090007219609,0.01523873151932418,-1.4953343588376804,-1.2518974693600213,-0.4446027537042164,1.3144771442921515,0.4112846697123674
France,0.1538981264656056,0.6716186986938915,-1.2284330741126837,1.1426056642593956,-0.17178206439965432,-0.3987558290233812,-0.23903826244226214,-0.5638505121480626,0.5104765608901561,0.5617736396260321
Germany,0.44882125542196016,-1.1331576148579408,-0.8150527361231518,-0.05983453116036461,0.7633219151952382,-1.395645401581835,-0.8750196249255063,-0.6830982705919086,1.5441915966927218,0.3307905695259886
Greece,-0.7297266686998758,2.390453283028969,-0.2071404743738402,2.7107771226186452,-1.1816943623621383,0.9968895725584542,1.3391377111272695,-0.42472812729690873,-0.2935240225118396,-0.8521227288651441
Hungary,-0.8151895159006822,-0.7893906979909252,1.6652292918140397,0.1296090007219609,-1.555735954200095,-0.07476671794188376,0.16139444726940996,0.03238828007116809,-0.17866679631155447,-0.7681288851924012
Ireland,2.379365928797321,-0.6175072395574172,-0.9609516789429866,-0.620271646312244,1.6984258947901305,0.8972006153026088,-0.3097028582737339,2.6955882186503985,-0.638095701112695,3.0955879237537838
Italy,-0.16277224485881128,0.929443886344153,-0.5232548504834824,2.000363878059925,0.12745120907071128,0.2492223931396139,0.7031563486440255,-0.6830982705919086,-0.2935240225118396,0.19780031704414539
Latvia,-0.6957704481602696,0.49973524026038346,1.7138622727539843,-0.6518455682926314,-0.8076527705241813,-0.14953343588376797,0.23205904310088168,-0.3651042480749857,-1.2123818321141204,-0.9991119552924447
Lithuania,-0.5939017865414511,0.07002659417661392,2.102926120273543,-0.7965593773694079,-0.9946735664431597,0.92212285461657,1.244918250018641,-0.48435200651883176,-0.638095701112695,-0.6386383761969221
Luxembourg,3.3713454052352536,-0.35968205190715563,-0.9609516789429866,-1.1543971598138003,0.9503427111142166,-1.4953343588376804,-1.2518974693600213,3.5501971541646293,-0.8678101535132651,2.150657182435423
Malta,-0.22267254401294798,-1.0472158856411868,-1.0095846598829317,-0.3939918721194663,-0.9198652480755682,-1.1464230084422216,-0.8750196249255063,0.7677494571415526,-1.2123818321141204,-0.03318275305589858
Netherlands,0.6765950044348239,-0.918303291816056,-0.06124153155400551,-0.4808201575655321,1.6984258947901305,-0.07476671794188376,-0.5452515110453056,-0.08685947837267798,0.6253337870904409,0.6527669702715041
Poland,-0.8266354329365045,-1.2190993440746947,0.7168861634851131,-0.5071317592158551,0.01523873151932418,0.8473561366746858,0.30272363893235343,-0.1663579840019088,-0.40838124871212483,-0.6491376066560148
Portugal,-0.5595640354339843,0.07002659417661392,-0.5962043218933997,1.5530666500044343,-0.17178206439965432,1.595023316093526,0.6796014833668684,-0.3651042480749857,-0.06380957011126952,-0.8486229853787799
Romania,-0.9258333805802977,-0.05888599964851687,0.42508827784544373,-0.5571238023514686,-1.7427567501190735,-0.07476671794188376,0.6324917528125538,-0.2856057424457549,-1.4420962845146905,-0.992112468319716
Slovakia,-0.7236221796141038,0.07002659417661392,0.4494047683154161,-0.2782208248580452,-0.3588028603186328,-1.1464230084422216,-0.8750196249255063,-0.5042266329261395,-0.9826673797135501,-0.5021483802287142
Slovenia,-0.40580721658610475,-0.7034489687741712,-0.3530394171936749,0.040149555110863,0.6885135968276467,0.3489113503954589,0.4676076958724536,-0.5638505121480626,0.395619334689871,-0.28866402756049225
Spain,-0.3676541598000304,3.0779871167630013,-1.1554836027027664,1.1794419065698478,0.20225952743830267,1.4205676408957968,0.30272363893235343,-0.48435200651883176,-0.40838124871212483,0.05081109061684477
Sweden,0.6117348078984975,0.8005312925190222,-0.5232548504834824,-0.9254862254559904,1.0625551886656037,-0.8972006153026081,-1.1105682776970782,-0.3651042480749857,1.888763275293577,0.7612590183487972
