,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
Austria,0.2870615666945484,0.29555278766505044,0.06786598056625329,0.022554821811426255,0.013390349166106848,0.09797101206174208,0.14719795343845207,0.026700397037804906,0.0001456596683474922,0.028271165796350455,0.0007955760797419006,0.012492730014175777
Belgium,0.45856096681486735,0.20094886048169233,0.030943453674623252,0.006341210459831324,0.04535858545779073,0.004471385451895401,0.15334276010162975,0.008038032392047008,0.075569128682638,0.015699699053517063,2.414245448626612e-06,0.0007235031840190728
Bulgaria,0.8646677950089645,0.030267523006440724,0.008093716130539908,0.02647498298968712,0.0558390193630991,5.30511493035425e-06,0.003598852868631238,0.006663901604167204,9.00077170605876e-06,0.0019725669084761873,0.00030407216262413737,0.002103264070733416
Croatia,0.19492122929282174,0.00657906831162837,0.702899070419012,0.006106137054186986,0.04000279836902776,0.0017114610173446258,0.000695754010869681,0.004799663503240728,0.03197302276668443,0.004826352321036147,0.003475905492377952,0.002009537441769485
Cyprus,0.015933923588141774,0.18053334182177372,0.12713647251962143,0.01848514834543215,0.020215746685522888,0.2438632054173776,0.19402848674658588,0.06193688113863013,0.1371065446536532,6.883670362982331e-05,0.0005481335897025458,0.00014327878992865362
Czechia,8.332933893853151e-05,0.38945880522118764,0.1997767019783743,0.12607669621515355,0.10623656911856098,0.02697041657056596,9.316425899858871e-05,0.11217018859638611,0.0121748047422922,0.004454054994999683,0.02115805581715396,0.0013472131473883087
Denmark,0.7427665101295717,0.0322677338270428,0.03669257156620771,0.05457360446878339,0.03703835998013549,0.0612586079405482,0.010171817487665361,0.0056938970379717445,0.010220913004123377,0.000812687189151591,0.004354694710184252,0.0041486026586142035
Estonia,0.42056420960982793,0.008281033549148368,0.13872860968893044,0.23027577050139755,0.004095911391075777,0.09328578042401638,0.030114567937098317,0.012146339898622972,0.0019957648780436666,0.05776918443121776,0.0010312741251517724,0.0017115535654690466
Finland,0.45555058165777945,0.08438965342410407,0.081193097421148,0.1484699008492,0.18347183060019176,0.021287900330132878,0.0074332871363979825,0.0029295806834152773,0.00031102681387308297,0.014769418780784771,0.00016869321085967692,2.502909211316783e-05
France,0.04592078160576259,0.3636114612805719,0.007258838428853503,0.021773023338334432,0.02921803493218297,0.222463928005148,0.11001365529109663,0.1621053877364679,0.0004785961667459735,0.02825452039913517,0.006246696239738935,0.0026550765759619757
Germany,0.03231134717310395,0.4574053415147248,0.10772911067318039,0.029174863480663647,0.06438690821692375,0.14141587330036687,0.06592375561230557,0.0013978599832543863,0.08248921723998794,4.367225721610735e-05,0.014877523708698773,0.002844526839573735
Greece,0.3487328591827865,0.4460664590465624,0.08353156763030309,0.014200132103876845,0.00915230604920553,0.05839881084165983,0.020081804525479002,0.0005192317063661833,0.005507173417762812,0.005248472134468154,0.008359151101162365,0.0002020322603674947
Hungary,0.17121795848607546,0.008933270032903846,0.11010106971317622,0.0038607852208740767,0.1360716559516521,0.43605950492070383,0.005293937539324599,0.09166801479071553,0.003827523517062218,0.026909725837539304,0.0031341341701584154,0.0029224198198144033
Ireland,0.20187231343991494,0.1821528257992248,0.0043538182528591925,0.02434808303192527,0.2678381631201158,0.2289854150949478,0.00699675155337935,0.034602977881964626,0.0038365444249005305,0.03982987948429374,0.0051627767154317486,2.0451201042027814e-05
Italy,0.39018334940850036,0.011619705116859941,0.03293028460804917,0.4587955124595943,0.006148995967951976,0.0010190269310177069,0.034874542794046094,0.0537174892575421,6.286057675262311e-05,0.006930312025167685,0.0034157653962432056,0.0003021554582746979
Latvia,0.0035595339111524735,0.3646802722480027,0.08985543726755386,0.0037032642970440113,0.07937440140365962,0.08879326547985103,0.2964456952933816,0.05678720219398932,0.0038348042901316876,0.004597109928059944,0.00024194326245240144,0.008127070424721406
Lithuania,0.01140297678921698,0.5477740149405005,0.1248301897601081,0.1135391182937683,0.09691516748138221,0.014498348044933529,0.003965437746292587,0.0332163535862794,0.04345811786829251,0.0013556005998277883,0.007974314084365821,0.0010703608050322744
