,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
Early_school_leaving,0.1608923590111833,0.24804285242862611,0.8507757820802885,0.9073358993100434,0.9073446206619356,0.9660926836409409,0.9761925162612336,1.0133683372967957,1.0188709490509387,1.0355569398139284,1.0384025266796153,1.0384615384615392
Tertiary_education,0.4979955958712837,0.5352645468273118,0.5551171449919429,0.5642172397996557,0.5680568953655459,0.9504030279326936,0.974857913629891,1.03563889414885,1.0356937547266878,1.0382803320875988,1.0383049884535394,1.0384615384615374
NEET_rate,0.7960742075563976,0.8030547397232765,0.8111039289420954,0.971773036025359,0.9741181456328319,0.993875336827799,0.9972014829243945,1.002395282932382,1.0049844789324025,1.0065585526431335,1.0381527909407122,1.038461538461538
Employment_rate_graduates,0.4680604758926658,0.5267325368932805,0.5348094993041397,0.8988217547582861,0.9284216982362513,1.0053437945016352,1.0059308663369855,1.0184222870945927,1.0193728483877726,1.02289875130633,1.0383827506230618,1.0384615384615388
Early_childhood_education,0.4513286873933269,0.45135354930270344,0.7449301252365433,0.7682403476668257,0.9538883776240052,0.9545183422933989,0.9700213238769494,0.9907204537873932,1.002005277131728,1.0382270003107126,1.0383056568350504,1.0384615384615385
Adult_learning,0.6323485569808348,0.6515918714313506,0.6741308899327032,0.7419972722904713,0.9580292534685811,0.961272616739432,0.9688829587957714,0.9700561755880492,1.0330489715157598,1.0354866686523514,1.038012984246293,1.038461538461539
Public_expenditure_education,0.6201899599209667,0.6434001441712751,0.6728787710343139,0.6827294946875926,0.8020414737395747,0.8393924754563936,1.0106644290016353,1.0116985172673656,1.0330770370323896,1.0381983671340262,1.038436076495989,1.0384615384615392
Expenditure_per_student,0.5339486730720362,0.5526565729920847,0.7909259431612772,0.799290344335952,0.8441582877223337,0.8782173209264333,0.9333764439046,1.002832287403754,1.0358144793895707,1.0384470592673185,1.038450317939648,1.0384615384615379
Pupil_teacher_ratio_primary,0.05637211250110615,0.8180150284470078,0.8202975346824076,0.8632694423957237,0.8632823910465172,0.8969695534756539,0.9558075135049098,1.0184595630655486,1.0235038729087733,1.038069146177529,1.0384541015901865,1.0384615384615399
Pupil_teacher_ratio_secondary,0.0010286951872476426,0.8902649146759519,0.8931283669316643,0.9098556468444646,0.925532463517358,0.946746139867816,0.9660586819484963,0.9859992450192019,0.9985475965903154,1.038035813015576,1.0383479372706719,1.0384615384615379
Low_reading_PISA,0.5783836413692627,0.597108434354624,0.7309431860935022,0.9113328020762093,1.005248416548938,1.0055713503497177,1.0062660016184983,1.0062662858727776,1.0127046641513358,1.0316391581891144,1.031698949870072,1.0384615384615388
Low_math_PISA,0.7989047355438701,0.8490955221970781,0.9020715624102069,0.971600589963538,1.0027029053875118,1.0120363709457,1.0218386319841843,1.022100011405034,1.022101040269172,1.0250502202418528,1.02512129740847,1.038461538461539
