,Early_school_leaving,Tertiary_education,NEET_rate,Employment_rate_graduates,Early_childhood_education,Adult_learning,Public_expenditure_education,Expenditure_per_student,Pupil_teacher_ratio_primary,Pupil_teacher_ratio_secondary,Low_reading_PISA,Low_math_PISA
Early_school_leaving,1.0,-0.32192377123167965,0.438574865269663,-0.1806013396864126,0.13728835475447898,-0.0978132409995963,-0.3721660007994068,-0.07185641924241007,0.2017522769098064,0.20672653289561674,0.40757792822607797,0.3756606933104566
Tertiary_education,-0.3219237712316797,1.0,-0.534630511152487,0.3586850902124599,0.5036342662489486,0.44857547646718243,0.445655984251576,0.5971020099533786,-0.2184920319489332,-0.09137330449569678,-0.41160109355441854,-0.44854785027187
NEET_rate,0.438574865269663,-0.534630511152487,1.0,-0.8461064051531668,-0.44863979804902654,-0.6196338608211501,-0.6507889457225017,-0.5791051886235018,0.10297354742853496,-0.06102877383694466,0.5152679418588226,0.7106752872171499
Employment_rate_graduates,-0.1806013396864126,0.35868509021245987,-0.8461064051531669,1.0,0.4464513987031228,0.3633868858135929,0.39409534484690834,0.4457523325575019,0.08364990544490761,0.11428120418169954,-0.3208041969474943,-0.5247224927692047
Early_childhood_education,0.13728835475447898,0.5036342662489486,-0.44863979804902654,0.4464513987031228,1.0,0.4410399030354502,0.3488701539012155,0.6026673315844133,-0.1704149535612583,-0.059141051298633555,-0.4547563901315826,-0.5501945744674215
Adult_learning,-0.0978132409995963,0.4485754764671824,-0.6196338608211501,0.36338688581359285,0.44103990303545015,1.0,0.6740465763101438,0.6431523189160268,-0.1393303953245473,0.2041717628232047,-0.5088100797392527,-0.6809615493030085
Public_expenditure_education,-0.37216600079940676,0.445655984251576,-0.6507889457225017,0.3940953448469084,0.34887015390121556,0.6740465763101438,1.0,0.45742927594790456,-0.2671390697599049,-0.10834979870005809,-0.549933193797112,-0.625416335513844
Expenditure_per_student,-0.07185641924241007,0.5971020099533786,-0.5791051886235018,0.4457523325575019,0.6026673315844133,0.6431523189160268,0.45742927594790456,0.9999999999999999,-0.25063102453067193,-0.08138591028146563,-0.26898348119026644,-0.44387248922951905
Pupil_teacher_ratio_primary,0.20175227690980638,-0.2184920319489332,0.10297354742853496,0.08364990544490761,-0.1704149535612583,-0.13933039532454727,-0.2671390697599049,-0.250631024530672,1.0,0.690363101860276,0.1269220893780404,0.08833798906998491
Pupil_teacher_ratio_secondary,0.20672653289561674,-0.09137330449569679,-0.06102877383694466,0.11428120418169953,-0.059141051298633555,0.20417176282320468,-0.10834979870005809,-0.08138591028146565,0.6903631018602759,0.9999999999999999,-0.16666181093575166,-0.24036934498023294
Low_reading_PISA,0.4075779282260779,-0.41160109355441854,0.5152679418588226,-0.3208041969474943,-0.4547563901315826,-0.5088100797392527,-0.549933193797112,-0.26898348119026644,0.1269220893780404,-0.16666181093575166,1.0,0.9274443590795851
Low_math_PISA,0.3756606933104566,-0.44854785027187,0.71067528721715,-0.5247224927692047,-0.5501945744674214,-0.6809615493030083,-0.6254163355138439,-0.44387248922951905,0.0883379890699849,-0.2403693449802329,0.9274443590795851,0.9999999999999998
