,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
Early_school_leaving,0.4011138978035831,0.29521262408210597,0.7763587634925379,-0.2378237104028002,0.002953193507393111,-0.24237999706866362,0.10049792346259041,-0.1928103239859369,-0.07417959122388734,-0.12917426509560564,-0.053344042457307096,-0.007681912647511692
Tertiary_education,-0.7056880301317883,-0.1930516794954867,0.1408992482756065,0.09539441706783891,-0.06196495433622342,0.618341436883497,0.15638057966767321,-0.24653799001159826,0.007406792682254756,-0.05085840501737171,0.00496551769109077,-0.012511994565138794
NEET_rate,0.8922299073424952,-0.08354957909456448,0.08971727380398362,-0.4008355112552575,-0.048426331757349464,0.1405602760205282,0.0576727500349637,0.07206802347773542,-0.05088414291329401,-0.03967459780175531,0.17774768155331508,-0.01757121284447708
Employment_rate_graduates,-0.6841494543538464,0.24222316363348617,0.08987192226084417,0.6033342816831697,-0.17204634107694733,-0.27734833020118216,-0.024229565314926784,-0.1117650247510699,-0.030831174048029972,-0.059379313894295634,0.12443471909693067,0.008876251375271003
Early_childhood_education,-0.6718100084051494,-0.004986171815788279,0.5418270719831558,-0.1526768562365704,-0.4308689243345121,-0.025099096983629797,0.12451096973178896,0.14387192189737275,0.1062300491590531,0.19032005458959025,0.008868851353913984,0.012485256364539348
Adult_learning,-0.7952034689190149,0.13872027411490978,0.15013000533321985,-0.2605117700944971,0.4647924065409308,-0.05695053354316247,-0.08723727446647654,-0.03425225236795143,0.2509836566944361,-0.049373040584832176,0.050262467049893275,0.02117909854658387
Public_expenditure_education,-0.7875214028335781,-0.1523488898886645,-0.17169340949214923,-0.09925081185198789,0.3454156612720131,-0.19326407249361935,0.41385015832453387,0.03215724281915668,-0.14621395201903314,0.07156346904417471,0.015417826110145428,-0.005045985092139097
Expenditure_per_student,-0.7307179162111985,-0.13677682523018483,0.48812843614072776,0.09145710018732764,0.21182054524144184,0.18455089597208577,-0.2348597942989958,0.2635447656455239,-0.181609999685636,-0.05130867253932568,-0.0018051793067594562,0.003349704746670928
Pupil_teacher_ratio_primary,0.23742812070415364,0.8727215569389252,-0.04777558199959254,0.20729666594838436,0.003598423376076431,0.18354062882407454,0.24256537269209702,0.2503039143933606,0.07102330493031583,-0.12068667394851773,-0.019620280646752038,-0.0027270627703304476
Pupil_teacher_ratio_secondary,-0.0320732783988111,0.9429932234585274,-0.05351123485505077,-0.12933398591553708,0.1252070951379888,0.1456491549939718,-0.1389695724994515,-0.14121105859919608,-0.11201942497225029,0.1987164221327984,0.01766703866231859,0.010658385940940143
Low_reading_PISA,0.7605153787855067,-0.13683856541692216,0.3658343228004695,0.4247229873490569,0.30645654581478393,0.01797035894966584,0.026356237758461475,0.0005331550236626489,0.08023950572229517,0.1376026672625889,0.007732508063843383,-0.08223495966720493
Low_math_PISA,0.8938147098497933,-0.22403300349102126,0.23016524545015238,0.26368357467489545,0.17635848554570233,0.09660986263414423,0.0990063686763847,-0.01616723293732716,0.0010143294030556657,0.05430635296796214,0.008430727525978269,0.11549996126869046
