,Early_school_leaving,Tertiary_education,NEET_rate,Employment_rate_graduates,Early_childhood_education,Adult_learning,Public_expenditure_education,Expenditure_per_student,Pupil_teacher_ratio_primary,Pupil_teacher_ratio_secondary,Low_reading_PISA,Low_math_PISA
Austria,8.5,43.2,9.8,88.5,95.2,14.2,5.1,14520.0,11.2,9.5,23.5,21.2
Belgium,8.2,52.4,10.2,86.8,98.5,8.5,6.2,13280.0,12.4,10.2,21.8,23.5
Bulgaria,12.5,33.2,15.8,78.2,82.4,2.2,4.2,5420.0,16.5,12.8,44.2,42.8
Croatia,3.2,36.8,13.2,80.5,78.5,3.5,5.5,6850.0,14.2,11.5,21.5,28.5
Cyprus,10.2,58.2,12.5,82.4,92.4,5.8,5.8,12450.0,12.8,10.8,28.5,32.1
Czechia,6.5,35.8,8.5,89.2,92.8,6.2,4.8,8520.0,18.5,12.2,20.8,20.2
Denmark,9.8,47.2,8.2,86.5,98.2,22.5,6.8,15820.0,11.5,10.5,18.2,15.8
Estonia,8.8,44.5,10.5,85.2,92.5,20.2,6.2,9250.0,13.2,11.2,13.5,15.2
Finland,8.2,43.8,9.2,84.5,89.5,28.5,6.4,12580.0,13.5,13.2,13.8,14.2
France,7.8,50.2,12.8,82.5,100.0,11.2,5.5,12450.0,18.5,13.5,20.5,23.8
Germany,12.2,35.8,8.5,92.5,96.2,8.2,4.8,13520.0,15.2,13.8,20.8,21.5
Greece,4.5,44.2,14.8,68.5,85.2,4.2,4.4,8250.0,9.2,8.5,30.2,35.8
Hungary,12.8,33.5,12.2,88.5,96.5,6.0,4.8,7250.0,10.5,11.2,25.8,28.2
Ireland,9.2,62.5,11.5,88.2,98.5,12.8,4.2,11250.0,15.8,13.2,11.8,15.5
Italy,11.5,29.2,19.8,68.2,95.8,9.8,4.2,10520.0,11.8,11.5,23.5,27.2
Latvia,8.2,46.2,10.8,85.5,94.2,8.5,5.8,7520.0,12.2,9.8,22.5,26.8
Lithuania,5.8,48.5,10.2,88.5,92.8,8.2,5.2,7850.0,10.8,8.5,24.2,25.5
Luxembourg,8.5,60.2,8.5,89.5,95.5,18.5,5.0,22450.0,10.2,9.2,29.2,28.5
Malta,9.2,42.5,9.8,92.2,98.2,12.5,5.4,14250.0,14.5,8.2,35.2,32.8
Netherlands,8.2,52.8,5.8,92.5,96.2,26.5,5.2,14520.0,15.8,16.2,24.2,18.5
Poland,5.2,42.8,10.5,88.2,92.5,5.8,5.0,8520.0,10.2,10.5,22.8,24.2
Portugal,8.5,48.2,9.8,82.5,95.2,12.2,5.1,9850.0,12.5,9.8,20.2,24.5
Romania,15.8,25.2,19.5,75.8,82.5,1.2,3.2,4250.0,18.2,12.5,40.8,46.5
Slovakia,7.8,40.2,12.8,84.2,85.2,4.5,4.5,7250.0,16.5,13.2,30.2,28.8
Slovenia,4.8,48.5,8.2,88.5,93.2,11.2,5.5,10250.0,15.5,12.8,16.8,18.2
Spain,13.2,50.5,14.5,76.8,98.2,11.5,4.8,9520.0,13.2,11.5,25.2,27.5
Sweden,7.5,52.2,6.5,88.2,96.5,35.2,7.2,14850.0,12.8,12.2,18.5,16.8
