,Early_school_leaving,Tertiary_education,NEET_rate,Employment_rate_graduates,Early_childhood_education,Adult_learning,Public_expenditure_education,Expenditure_per_student,Pupil_teacher_ratio_primary,Pupil_teacher_ratio_secondary,Low_reading_PISA,Low_math_PISA
Austria,-0.09240781780697697,-0.17330155021936308,-0.4394826381201287,0.6274548258935271,0.38779116792917406,0.28517054652803425,-0.13375743946406204,0.9607124065380529,-0.9229252384282814,-1.0249979155144173,-0.06839673050146346,-0.526777566349735
Belgium,-0.19783082122057008,0.8540995255441168,-0.32022604285135053,0.3580425105659979,0.9835186345238134,-0.40272517620965353,1.1477251257238792,0.6359153614921677,-0.4614626192141404,-0.6488336319566994,-0.2975507399917669,-0.23391376267633698
Bulgaria,1.3132322277075945,-1.2900418499622766,1.34936629091155,-1.0048668493262052,-1.9229093085591253,-1.1630309750249925,-1.182243174617831,-1.4228788111373951,1.1152013297675067,0.7483479926862554,2.7218903262334093,2.2235955464091326
Croatia,-1.9548808781137843,-0.8880153420548283,0.5741984216644889,-0.6403678344713138,-2.6269508599891553,-1.0061424768567482,0.3322362206042804,-1.0483144769312533,0.2307313096070702,0.049757180364778025,-0.337989682842997,0.4027466800919195
Cyprus,0.5049892015367157,1.5018088993950072,0.36549937994412657,-0.33925995263466324,-0.11767456130264106,-0.7285705185590846,0.6817314656555367,0.41851088779209933,-0.30764174614276,-0.32640710319294,0.6055856503523704,0.8611421988850644
Czechia,-0.7952278405642628,-0.9996893720291197,-0.8270665727436594,0.738389308675451,-0.04546517141238323,-0.680297134507317,-0.48325268451531833,-0.6108861985226821,1.884305695124408,0.4259214639224961,-0.43234721616253363,-0.6541096549033864
Denmark,0.36442519698525905,0.2733945696778023,-0.9165090191952435,0.3104991608023168,0.9293615921061193,1.2868432656022113,1.8467156158263918,1.3012254376345456,-0.807559583624746,-0.4876203675748197,-0.7828180542065275,-1.2143708445394519
Estonia,0.01301518560661615,-0.02812531125278465,-0.2307835963997664,0.10447797849303063,-0.09962221383007724,1.0092713073045478,1.1477251257238792,-0.41967503490695934,-0.15382087307138037,-0.11145608401710168,-1.4163614922091312,-1.2907700976716427
Finland,-0.19783082122057008,-0.10629713223478891,-0.618367531023297,-0.006456504288893405,-0.6411926380070225,2.0109440263787253,1.3807219557580503,0.4525621909017486,-0.03845521826784492,0.9632990118620938,-1.375922549357901,-1.418102186225294
France,-0.33839482577202706,0.6084166596006764,0.4549418263957107,-0.32341216938010364,1.254303846612286,-0.07687983386022251,0.3322362206042804,0.41851088779209933,1.884305695124408,1.1245122762439734,-0.47278615901376375,-0.1957141361102415
Germany,1.2078092242940015,-0.9996893720291197,-0.8270665727436594,1.2613661560759475,0.5683146426548225,-0.4389302142484793,-0.48325268451531833,0.698779305694597,0.6152834922855207,1.2857255406258532,-0.43234721616253363,-0.48857793978363956
Greece,-1.4980478633215486,-0.06162752024507174,1.0512248027396036,-2.5421018250185754,-1.4174435793273104,-0.9216640547661549,-0.9492463445836598,-0.6816081357504151,-1.6920296037851825,-1.5623754634540152,0.8347396598426738,1.3322709265335737
Hungary,1.4186552311211877,-1.2565396409699894,0.2760569334925424,0.6274548258935271,0.6224716850725165,-0.7044338265332009,-0.48325268451531833,-0.943541236593871,-1.1921117663031966,-0.11145608401710168,0.24163516469130022,0.36454705352582406
Ireland,0.1535791901580728,1.9820072282844596,0.06735789177218009,0.579911476129846,0.9835186345238134,0.11621370234684794,-1.182243174617831,0.10419116677995233,0.8460148018925916,0.9632990118620938,-1.6455155016994345,-1.2525704711055474
Italy,0.9618222163289517,-1.7367379698594423,2.541932243599336,-2.589645174782256,0.4961052527645621,-0.24583667804140882,-1.182243174617831,-0.08701999683577043,-0.6921939288212106,0.049757180364778025,-0.06839673050146346,0.23721496497217273
